"SN","IMSI","ICCID","MSISDN","PO Number from client","PO number from Linksfield to Telkomsel"
"0015000016058224","510102015050649","8962100020150506491","6281120050649","H083-0901-2025-000133","POLF2025080067"
"0015000016058225","510102015050650","8962100020150506509","6281120050650","H083-0901-2025-000133","POLF2025080067"
"0015000016058226","510102015050651","8962100020150506517","6281120050651","H083-0901-2025-000133","POLF2025080067"
"0015000016058227","510102015050652","8962100020150506525","6281120050652","H083-0901-2025-000133","POLF2025080067"
"0015000016058228","510102015050653","8962100020150506533","6281120050653","H083-0901-2025-000133","POLF2025080067"
"0015000016058229","510102015050654","8962100020150506541","6281120050654","H083-0901-2025-000133","POLF2025080067"
"0015000016058230","510102015050655","8962100020150506558","6281120050655","H083-0901-2025-000133","POLF2025080067"
"0015000016058231","510102015050656","8962100020150506566","6281120050656","H083-0901-2025-000133","POLF2025080067"
"0015000016058232","510102015050657","8962100020150506574","6281120050657","H083-0901-2025-000133","POLF2025080067"
"0015000016058233","510102015050658","8962100020150506582","6281120050658","H083-0901-2025-000133","POLF2025080067"
"0015000016058234","510102015050659","8962100020150506590","6281120050659","H083-0901-2025-000133","POLF2025080067"
"0015000016058235","510102015050660","8962100020150506608","6281120050660","H083-0901-2025-000133","POLF2025080067"
"0015000016058236","510102015050661","8962100020150506616","6281120050661","H083-0901-2025-000133","POLF2025080067"
"0015000016058237","510102015050662","8962100020150506624","6281120050662","H083-0901-2025-000133","POLF2025080067"
"0015000016058238","510102015050663","8962100020150506632","6281120050663","H083-0901-2025-000133","POLF2025080067"
"0015000016058239","510102015050664","8962100020150506640","6281120050664","H083-0901-2025-000133","POLF2025080067"
"0015000016058240","510102015050665","8962100020150506657","6281120050665","H083-0901-2025-000133","POLF2025080067"
"0015000016058241","510102015050667","8962100020150506673","6281120050667","H083-0901-2025-000133","POLF2025080067"
"0015000016058242","510102015050668","8962100020150506681","6281120050668","H083-0901-2025-000133","POLF2025080067"
"0015000016058243","510102015050669","8962100020150506699","6281120050669","H083-0901-2025-000133","POLF2025080067"
"0015000016058244","510102015050670","8962100020150506707","6281120050670","H083-0901-2025-000133","POLF2025080067"
"0015000016058245","510102015050671","8962100020150506715","6281120050671","H083-0901-2025-000133","POLF2025080067"
"0015000016058246","510102015050672","8962100020150506723","6281120050672","H083-0901-2025-000133","POLF2025080067"
"0015000016058247","510102015050673","8962100020150506731","6281120050673","H083-0901-2025-000133","POLF2025080067"
"0015000016058248","510102015050674","8962100020150506749","6281120050674","H083-0901-2025-000133","POLF2025080067"
"0015000016058249","510102015050675","8962100020150506756","6281120050675","H083-0901-2025-000133","POLF2025080067"
"0015000016058250","510102015050676","8962100020150506764","6281120050676","H083-0901-2025-000133","POLF2025080067"
"0015000016058251","510102015050677","8962100020150506772","6281120050677","H083-0901-2025-000133","POLF2025080067"
